move_number,player,move_notation,time_s,nodes_expanded,depth_reached,score,white_pieces,black_pieces
80,BLACK,"(6,5) → (5,4)",0.5111631700001453,14036,5,0,2,3
81,WHITE,"(4,1) → (5,0)",0.5940004169997337,8806,5,0,2,3
82,BLACK,"(5,4) → (3,6)",0.501220457999807,11696,5,0,2,3
83,WHITE,"(3,4) → (1,2)",0.5006708920000165,6720,4,0,2,3
84,BLACK,"(3,6) → (2,5)",0.509225970999978,6477,5,0,2,3
85,WHITE,"(5,0) → (3,2)",0.6503642249999757,5439,4,0,2,3
86,BLACK,"(2,5) → (5,2)",0.5572120879996874,8757,5,0,2,3
87,WHITE,"(1,2) → (0,1)",0.5454747169997063,8849,5,0,2,3
88,BLACK,"(7,2) → (3,6)",0.5510936310001853,12411,7,0,2,3
89,WHITE,"(0,1) → (1,0)",1.0651492229999349,22738,7,0,2,3
90,BLACK,"(3,6) → (4,5)",0.5394145949994709,10379,8,0,2,3
91,WHITE,"(3,2) → (4,1)",0.005504812000253878,600,50,0,2,3
